,30,40,50,70,90,120,150,190
8.88E-16,3.982300885,3.982300885,2.654867257,2.654867257,2.654867257,1.327433628,1.327433628,1.327433628
1,16.32920354,15.92920354,15.21920354,14.60176991,13.27433628,13.07433628,9.292035398,5.309734513
2,39.85840708,36.16814159,34.51327434,33.18584071,27.87610619,21.23893805,15.92920354,9.292035398
3,59.73451327,58.40707965,57.07964602,54.42477876,46.46017699,29.20353982,22.56637168,13.27433628
4,88.9380531,83.62831858,82.30088496,71.68141593,66.37168142,37.16814159,29.20353982,17.25663717
5,124.7787611,115.4867257,107.5221239,94.24778761,86.28318584,47.78761062,33.18584071,21.23893805
6,172.5663717,150,136.7256637,118.1415929,106.1946903,57.07964602,37.16814159,25.22123894
7,269.4690265,199.1150442,172.5663717,143.3628319,126.1061947,66.37168142,43.80530973,29.20353982
8,699.5575221,282.7433628,220.3539823,176.5486726,150,76.99115044,49.11504425,33.18584071
9,744.6902655,484.5132743,288.0530973,209.7345133,175.2212389,84.95575221,54.42477876,37.16814159
10,772.5663717,621.2389381,390.2654867,249.5575221,204.4247788,95.57522124,61.0619469,41.15044248
20,892.0353982,841.5929204,784.5132743,659.7345133,533.6283186,192.4778761,116.8141593,79.6460177
30,949.1150442,910.619469,872.1238938,789.8230088,703.539823,285.3982301,171.2389381,115.4867257
